GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/backend,com.iliani15.pg5100.exam_example.entity,Country,9,89,0,0,0,9,2,2,2,2
report/backend,com.iliani15.pg5100.exam_example.entity,Event,56,3,2,0,23,1,15,1,14,1
report/backend,com.iliani15.pg5100.exam_example.entity,User,59,0,2,0,24,0,16,0,15,0
report/backend,com.iliani15.pg5100.exam_example.ejb,EventEJB,3,0,0,0,1,0,1,0,1,0
report/backend,com.iliani15.pg5100.exam_example.ejb,UserEJB,3,0,0,0,1,0,1,0,1,0
